Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE,BIC
digester,DLT,linear,stan-map,964.03,3.67,1153.31,1330131.39,2241.55
collections,DLT,linear,stan-map,3532.39,6.6,4073.89,16596600.65,2140.92
commons-fileupload,DLT,linear,stan-map,280.44,4.98,342.78,117500.03,1228.44
jxpath,DLT,linear,stan-map,1409.05,4.75,1769.6,3131490.76,1974.74
commons-jelly,DLT,linear,stan-map,223.38,0.52,264.99,70222.07,2112.64
dbutils,DLT,linear,stan-map,324.63,4.85,349.08,121853.62,1103.4
cocoon,DLT,linear,stan-map,15824.66,5.93,18166.89,330035977.07,856.29
cayenne,DLT,linear,stan-map,11606.06,5.25,11755.53,138192440.17,284.05
hive,DLT,linear,stan-map,53895.12,8.52,65008.17,4226061817.66,1307.91
bcel,DLT,linear,stan-map,1288.48,2.32,1592.06,2534641.4,1849.26
zookeeper,DLT,linear,stan-map,1310.6,2.08,1693.44,2867736.17,315.69
felix,DLT,linear,stan-map,11045.52,4.29,17452.24,304580808.83,749.11
beanutils,DLT,linear,stan-map,530.42,0.93,696.13,484591.31,2378.86
commons-cli,DLT,linear,stan-map,1082.79,13.62,1385.3,1919042.86,2162.92
commons-exec,DLT,linear,stan-map,173.59,3.23,215.93,46625.99,1274.5
net,DLT,linear,stan-map,316.74,1.09,384.22,147623.9,1915.23
batik,DLT,linear,stan-map,41968.17,37.61,54992.41,3024165063.4,371.71
ognl,DLT,linear,stan-map,37.87,0.14,43.04,1852.66,728.44
santuario,DLT,linear,stan-map,3726.38,3.06,4752.86,22589719.11,2351.12
daemon,DLT,linear,stan-map,27.49,0.68,32.91,1082.86,962.79
commons-jexl,DLT,linear,stan-map,2486.46,15.94,2949.61,8700227.93,1846.07
httpcore,DLT,linear,stan-map,3965.2,5.45,4378.25,19169054.44,1763.84
thrift,DLT,linear,stan-map,168.24,0.81,220.49,48614.73,616.98
configuration,DLT,linear,stan-map,967.11,2.34,1049.36,1101154.5,1979.93
commons-io,DLT,linear,stan-map,3666.51,9.88,5034.98,25351019.26,1953.3
httpclient,DLT,linear,stan-map,23627.7,37.75,26089.06,680638929.31,1624.28
archiva,DLT,linear,stan-map,9551.97,9.07,15775.02,248851324.49,1083.76
validator,DLT,linear,stan-map,504.72,3.02,688.2,473625.82,1973.69
dbcp,DLT,linear,stan-map,561.52,4.02,806.75,650848.7,1813.31
codec,DLT,linear,stan-map,792.99,4.68,960.48,922514.46,1779.02
vfs,DLT,linear,stan-map,701.47,2.6,926.84,859041.51,1964.75
