Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE,BIC
digester,DLT,loglinear,stan-map,977.13,3.72,1143.13,1306753.4,4466.71
collections,DLT,loglinear,stan-map,5646.37,10.51,6469.88,41859322.8,4409.52
commons-fileupload,DLT,loglinear,stan-map,364.18,6.42,431.77,186422.32,2285.69
jxpath,DLT,loglinear,stan-map,779.58,2.62,1033.6,1068325.62,3715.95
commons-jelly,DLT,loglinear,stan-map,98.9,0.23,116.43,13555.58,3831.23
dbutils,DLT,loglinear,stan-map,76.68,1.15,87.63,7678.5,1735.45
cocoon,DLT,loglinear,stan-map,30974.5,11.05,38462.96,1479399455.7,1616.88
cayenne,DLT,loglinear,stan-map,4583.16,2.09,4856.46,23585251.65,499.74
hive,DLT,loglinear,stan-map,72267.28,11.5,86137.43,7419656087.72,2580.02
bcel,DLT,loglinear,stan-map,1432.98,2.55,1665.63,2774335.26,3085.2
zookeeper,DLT,loglinear,stan-map,1364.65,2.15,1481.37,2194464.8,648.01
felix,DLT,loglinear,stan-map,18131.33,7.48,21773.09,474067478.81,1380.88
beanutils,DLT,loglinear,stan-map,406.09,0.71,487.1,237262.81,4672.11
commons-cli,DLT,loglinear,stan-map,387.46,4.99,415.81,172896.27,4402.4
commons-exec,DLT,loglinear,stan-map,199.46,3.72,250.91,62956.55,2346.3
net,DLT,loglinear,stan-map,589.05,1.98,768.83,591100.05,3686.38
batik,DLT,loglinear,stan-map,26685.84,21.24,29007.05,841409221.59,726.31
ognl,DLT,loglinear,stan-map,183.34,0.67,213.56,45606.93,1307.44
santuario,DLT,loglinear,stan-map,4101.44,3.37,5066.02,25664538.07,4842.48
daemon,DLT,loglinear,stan-map,39.76,0.99,46.81,2191.26,1359.2
commons-jexl,DLT,loglinear,stan-map,1950.2,12.52,2378.5,5657241.65,3827.29
httpcore,DLT,loglinear,stan-map,1585.77,2.1,2497.65,6238251.38,3502.61
thrift,DLT,loglinear,stan-map,716.89,3.44,787.27,619790.07,1273.09
configuration,DLT,loglinear,stan-map,2065.89,4.77,2850.53,8125512.9,3901.1
commons-io,DLT,loglinear,stan-map,5055.6,13.8,6679.33,44613395.6,3837.23
httpclient,DLT,loglinear,stan-map,22222.1,35.59,23365.52,545947413.37,3195.75
archiva,DLT,loglinear,stan-map,10800.05,10.64,17557.32,308259365.85,2071.79
validator,DLT,loglinear,stan-map,597.64,3.58,814.47,663360.73,3623.66
dbcp,DLT,loglinear,stan-map,461.47,3.28,683.69,467437.95,3398.42
codec,DLT,loglinear,stan-map,1104.63,6.52,1330.02,1768962.24,3420.25
vfs,DLT,loglinear,stan-map,641.23,2.36,933.44,871316.95,3919.21
